;;Resultados 2017;;;;;diff;changes from 2013;Previsoes;;;;
;Municipios;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;;none;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
184;Sabugal;4;4;3;1;2;none;none;1;NA;-1;NA;-1
185;Seia;5;4;3;2;1;none;none;1;NA;1;NA;-1
186;Trancoso;5;3;4;2;1;none;PPD.PSD : { CDS.PP };1;NA;-1;NA;-1
187;Alcochete;3;3;2;3;1;none;CDS.PP : { BE };1;1;-1;-1;NA
188;Almada;4;5;2;3;1;CDS.PP : { BE };none;1;-1;NA;NA;NA
189;Amadora;3;4;2;4;1;CDS.PP : { BE };none;1;-1;NA;1;-1
190;Barreiro;4;5;2;3;1;none;none;1;1;-1;-1;NA
191;Cascais;3;4;2;4;1;none;none;1;NA;-1;NA;-1
192;Lisboa;4;5;3;2;1;none;none;1;NA;1;NA;-1
193;Loures;3;4;1;5;2;none;none;1;1;-1;NA;-1
194;Mafra;4;5;3;1;2;none;PPD.PSD : { BE };1;1;-1;-1;NA
195;Moita;3;4;1;4;2;PPD.PSD : { BE };none;1;NA;NA;-1;-1
196;Montijo;3;4;2;4;1;PPD.PSD : { BE };none;1;1;-1;-1;NA
197;Odivelas;3;4;2;4;1;none;none;1;1;-1;NA;-1
198;Oeiras;3;4;2;4;1;none;PS : { PCP.PEV };NA;1;-1;NA;-1
199;Palmela;3;4;1;4;2;PS : { PCP.PEV };CDS.PP : { BE };1;NA;1;NA;-1
200;Seixal;4;5;1;3;2;CDS.PP : { BE };none;1;-1;NA;NA;NA
201;Sesimbra;3;4;1;4;2;PPD.PSD : { BE };none;1;1;-1;-1;NA
202;Setubal;4;5;1;3;2;none;none;1;NA;-1;NA;-1
203;Sintra;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
204;Vila Franca de Xira;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
205;Alcí†ŒÊcer do Sal;3;4;1;4;2;none;none;1;NA;-1;NA;-1
206;Grandola;4;5;1;3;2;none;none;1;NA;-1;NA;-1
207;Odemira;4;5;2;3;1;none;none;NA;1;1;NA;-1
208;Santiago do Cacem;3;4;1;4;2;none;PPD.PSD : { PCP.PEV };1;NA;-1;NA;-1
209;Sines;3;4;2;4;1;PPD.PSD : { BE ^ PCP.PEV };none;1;NA;1;-1;-1
210;Aljustrel;3;3;2;3;1;none;none;1;NA;-1;NA;-1
211;Almodavar;4;5;3;2;1;none;PS : { PCP.PEV };1;NA;-1;NA;-1
212;Alvito;5;4;1;3;2;PS : { PCP.PEV };none;1;NA;1;NA;-1
213;Barrancos;3;3;2;3;1;none;none;1;NA;-1;NA;-1
214;Beja;4;5;2;3;1;none;none;1;NA;-1;NA;-1
215;Castro Verde;3;3;2;3;1;none;none;1;NA;-1;NA;-1
216;Cuba;3;3;1;3;2;none;none;1;NA;-1;NA;-1
217;Ferreira do Alentejo;3;3;2;3;1;none;none;1;NA;-1;NA;-1
218;Mertola;4;4;2;3;1;none;none;1;NA;-1;NA;-1
219;Moura;5;4;2;3;1;none;none;1;NA;-1;NA;-1
220;Ourique;4;4;3;2;1;none;none;1;NA;-1;NA;-1
221;Serpa;3;4;1;4;2;none;none;1;NA;-1;NA;-1
222;Vidigueira;3;3;1;3;2;none;none;1;NA;-1;NA;-1
223;Almeirim;4;3;2;4;1;none;none;1;NA;-1;NA;-1
224;Alpiarí‰Œça;3;3;1;3;2;none;none;1;NA;-1;NA;-1
225;Azambuja;3;4;2;5;1;none;none;1;NA;-1;NA;-1
226;Benavente;5;4;1;3;2;none;none;1;NA;NA;-1;-1
227;Cartaxo;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
228;Chamusca;3;3;2;3;1;none;none;1;NA;-1;NA;-1
229;Coruche;4;4;2;3;1;none;none;1;NA;-1;NA;-1
230;Golego;4;4;2;3;1;none;none;1;NA;-1;NA;-1
