;;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;changes;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
256;Mourao;5;2;4;2;1;none;1;NA;-1;NA;-1
257;Portel;4;3;2;4;1;none;1;1;-1;NA;NA
258;Redondo;4;3;2;4;1;none;1;NA;-1;NA;-1
259;Reguengos de Monsaraz;5;3;2;3;1;none;1;NA;-1;NA;-1
260;Vendas Novas;4;4;2;3;1;none;1;NA;-1;NA;-1
261;Viana do Alentejo;4;4;2;3;1;none;1;NA;-1;NA;-1
262;Vila ViÃ‚Âçosa;5;3;1;3;2;none;1;NA;-1;NA;-1
263;Albufeira;5;4;3;1;2;none;NA;1;NA;-1;1
264;Alcoutim;4;4;3;2;1;none;1;NA;-1;NA;-1
265;Aljezur;4;4;3;2;1;none;1;NA;-1;NA;-1
266;Castro Marim;4;5;3;1;2;none;1;NA;-1;NA;-1
267;Faro;5;1;4;1;3;none;1;NA;NA;-1;-1
268;Lagoa;4;5;3;2;1;none;1;NA;NA;-1;-1
269;Lagos;5;4;3;2;1;none;1;NA;NA;-1;-1
270;Loul_;5;4;3;2;1;none;1;NA;-1;NA;-1
271;Monchique;4;4;3;1;2;none;1;NA;-1;NA;-1
272;Olhao;4;5;3;2;1;none;1;1;-1;NA;-1
273;Portimao;4;2;5;3;1;PCP.PEV : { BE };1;NA;-1;NA;-1
274;Sao BrÃ‹Â†s de Alportel;5;4;3;2;1;none;1;NA;-1;NA;-1
275;Silves;4;5;1;2;3;none;1;NA;-1;NA;-1
276;Tavira;5;2;4;2;1;none;1;NA;-1;NA;-1
277;Vila do Bispo;4;4;3;2;1;none;1;NA;1;NA;-1
278;Vila Real de Santo Antonio;4;5;3;1;2;none;1;NA;NA;-1;-1
279;Vila do Porto;4;4;3;1;2;none;1;NA;1;-1;NA
280;Lagoa [R.A.A.];5;3;4;2;1;none;1;NA;1;-1;NA
281;Nordeste;3;3;3;2;1;none;1;NA;NA;-1;-1
282;Ponta Delgada;3;5;4;1;2;none;1;NA;1;-1;NA
283;PovoaÃ‚ÂçÃ¢Â€Â o;3;3;3;2;1;none;1;NA;1;-1;NA
284;Ribeira Grande;3;5;4;1;2;none;1;NA;1;-1;NA
285;Vila Franca do Campo;4;4;3;2;1;none;1;NA;1;NA;-1
286;Angra do HeroÃƒÂçsmo;4;2;5;2;1;none;1;NA;1;-1;NA
287;Vila da Praia da VitÃ¢Â€Â_ria;4;3;5;2;1;none;1;NA;1;-1;NA
288;Santa Cruz da Graciosa;3;3;3;2;1;none;1;NA;1;-1;NA
289;Calheta [R.A.A.];3;3;3;2;1;none;1;NA;1;-1;NA
290;Velas;4;1;4;2;3;none;1;NA;NA;-1;-1
291;Lajes do Pico;4;3;4;2;1;none;1;NA;1;-1;NA
292;Madalena;5;3;4;1;2;none;1;NA;NA;-1;-1
293;SÃ¢Â€Â o Roque do Pico;4;3;4;2;1;none;1;NA;1;-1;NA
294;Horta;5;2;4;2;1;none;1;NA;NA;-1;-1
295;Lajes das Flores;3;3;3;2;1;none;1;NA;NA;-1;-1
296;Santa Cruz das Flores;4;2;4;2;1;none;1;NA;1;-1;NA
