;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadãos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Violência doméstica contra cônjuge ou análogos;Furto em veículo motorizado;Furto em residência;Furto em edifício comercial ou industrial
Resende;7407.0;0.0;0.0;0.0;0.0;0.0;0.0;234.0;0.0;83.0;0.0;0.0;0.0;0.0;3187.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3903.0;0.0;0.0;0.0;252.0;31.0;3.0;13.0;3.0
Alijó;7841.0;0.0;256.0;0.0;0.0;0.0;1770.0;0.0;0.0;158.0;0.0;0.0;0.0;3298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2359.0;0.0;0.0;0.0;417.0;29.0;12.0;10.0;0.0
Armamar;4137.0;73.0;900.0;0.0;0.0;0.0;0.0;0.0;0.0;226.0;0.0;0.0;0.0;2449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;489.0;0.0;0.0;0.0;102.0;3.0;0.0;8.0;0.0
Carrazeda de Ansiães;4085.0;0.0;789.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;2615.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.0;0.0;0.0;0.0;182.0;15.0;3.0;5.0;0.0
Freixo de Espada à Cinta;2677.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;1357.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1295.0;0.0;0.0;0.0;128.0;5.0;0.0;5.0;0.0
Lamego;14875.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;590.0;0.0;0.0;0.0;0.0;8548.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5737.0;0.0;0.0;0.0;618.0;61.0;28.0;61.0;24.0
Mesão Frio;2975.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;1090.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1838.0;0.0;0.0;0.0;215.0;16.0;5.0;19.0;3.0
Moimenta da Beira;5902.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;169.0;0.0;0.0;0.0;0.0;1813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3920.0;0.0;0.0;0.0;216.0;15.0;3.0;31.0;5.0
Murça;4189.0;0.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0;0.0;0.0;0.0;1877.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1980.0;0.0;0.0;0.0;208.0;15.0;7.0;0.0;0.0
Penedono;1979.0;0.0;74.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;1238.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;642.0;0.0;0.0;0.0;66.0;6.0;0.0;0.0;3.0
